primary,sub,Answer
book,package,Amazing! Let's organize a once-in-a-lifetime getaway.
cancel,none,We're sorry to hear that! We'll cancel the reservation in a few steps.
cancel,none,"That breaks my heart. After a couple more steps, we'll cancel the reservation."
cancel,none,We're sorry to hear that. We'll cancel the reservation in a matter of minutes.
cancel,none,It breaks my heart! The reservation will be canceled after a few more steps.
cancel,none,We're sorry we found out. The reservation will be canceled in only a few steps.
cancel,none,I'm sorry to hear that! A handful of extra acts will result in the reservation being canceled.
cancel,none,"We're sorry to have found out. With just a few simple steps, you may cancel your reservation."
cancel,none,"We regret to learn that. After a few steps, we'll cancel the reservation."
cancel,none,It makes me so sad. We'll revoke the reservation once we've completed a few more procedures.
cancel,none,"Our condolences for that. In a few minutes, the reservation will be canceled."
cancel,none,It makes my heart ache! A couple additional actions will result in the cancellation of the reservation.
cancel,none,We regret learning this. It won't take long to cancel the reservation.
cancel,none,That makes me sad to hear! The reservation will be canceled if there are too many additional acts.
cancel,none,We regret learning this information. You may cancel your reservation in a few easy steps.
change,none,"Yes, please! Change your reservation right immediately!"
change,none,Of course! Change your reservation right immediately!
change,none,No problem! Change your reservation as soon as possible!
change,none,Sure thing! I'm changing your reservation right now!
change,none,Of course! Change your reservation as soon as possible!
change,none,Not a problem! Change your reservation as soon as possible!
change,none,"Yes, please! I'm immediately changing your reservation!"
change,none,Without a doubt! Modify your booking as soon as possible!
change,none,It is not an issue! Modify your booking as soon as possible!
change,none,"Yes, please! Your reservation is being changed right now!"
change,none,Of course! Make a change to your reservation right away!
change,none,It's no trouble! Make a change to your reservation right away!
exit,none,We appreciate you selecting our offerings. Enjoy your day!
exit,none,We value your decision to use our services. Enjoy your amazing day!
exit,none,We appreciate you choosing to use our services. Happy day to you!
exit,none,Thank you for considering our offerings. Have a wonderful day!
exit,none,We appreciate your decision to use our services. Have a fantastic day!
exit,none,We appreciate your decision to use our services. Have a good day!
exit,none,Thank you for taking the time to examine our products. Have a fantastic day!
exit,none,We are grateful for your decision to utilize our services. Have a good day!
exit,none,We are grateful for your decision to utilize our services. Have a good day!
exit,none,Thank you for taking the time to consider our offerings. Have a fantastic day!
exit,none,We are grateful for your decision to use our services. Have a wonderful day!
exit,none,We are grateful for your decision to use our services. Have a wonderful day!
